customer_id,customer_taxonomies,true_uplift_segment
C0793,Price Sensitive,Sure Thing
C0794,Price Sensitive,Lost Cause
C0795,High Value,Persuadal
C0796,Occasional,Persuadal
C0797,Occasional,Lost Cause
C0798,Price Sensitive,Persuadal
C0799,Price Sensitive,Persuadal
C0800,Occasional,Persuadal
C0801,Price Sensitive,Sleeping Dog
C0802,High Value,Lost Cause
C0803,Price Sensitive,Sure Thing
C0804,Price Sensitive,Persuadal
C0805,Frequent Shopper,Persuadal
C0806,Price Sensitive,Lost Cause
C0807,Occasional,Lost Cause
C0808,Occasional,Persuadal
C0809,Frequent Shopper,Persuadal
C0810,High Value,Persuadal
C0811,Occasional,Lost Cause
C0812,Occasional,Lost Cause
C0813,High Value,Persuadal
C0814,Occasional,Persuadal
C0815,Occasional,Persuadal
C0816,Price Sensitive,Sleeping Dog
C0817,Price Sensitive,Persuadal
C0818,Frequent Shopper,Lost Cause
C0819,High Value,Sure Thing
C0820,Frequent Shopper,Sure Thing
C0821,Occasional,Persuadal
C0822,High Value,Persuadal
C0823,Frequent Shopper,Sure Thing
C0824,Frequent Shopper,Lost Cause
C0825,Price Sensitive,Sure Thing
C0826,Occasional,Sure Thing
C0827,Frequent Shopper,Persuadal
C0828,Frequent Shopper,Sleeping Dog
C0829,Price Sensitive,Lost Cause
C0830,Frequent Shopper,Persuadal
C0831,Frequent Shopper,Sleeping Dog
C0832,Frequent Shopper,Sure Thing
C0833,High Value,Sure Thing
C0834,High Value,Lost Cause
C0835,Frequent Shopper,Lost Cause
C0836,Frequent Shopper,Lost Cause
C0837,Occasional,Persuadal
C0838,Frequent Shopper,Persuadal
C0839,Price Sensitive,Sleeping Dog
C0840,Price Sensitive,Persuadal
C0841,High Value,Sure Thing
C0842,Price Sensitive,Sure Thing
C0843,High Value,Sure Thing
C0844,Occasional,Sure Thing
C0845,High Value,Sleeping Dog
C0846,Frequent Shopper,Persuadal
C0847,High Value,Persuadal
C0848,Occasional,Persuadal
C0849,Price Sensitive,Lost Cause
C0850,Price Sensitive,Sure Thing
C0851,High Value,Persuadal
C0852,Price Sensitive,Lost Cause
C0853,Frequent Shopper,Lost Cause
C0854,Occasional,Lost Cause
C0855,Frequent Shopper,Sleeping Dog
C0856,High Value,Persuadal
C0857,High Value,Lost Cause
C0858,Frequent Shopper,Sure Thing
C0859,Price Sensitive,Lost Cause
C0860,High Value,Lost Cause
C0861,Price Sensitive,Lost Cause
C0862,Frequent Shopper,Lost Cause
C0863,Price Sensitive,Persuadal
C0864,Frequent Shopper,Sure Thing
C0865,Frequent Shopper,Sleeping Dog
C0866,Price Sensitive,Sleeping Dog
C0867,High Value,Persuadal
C0868,High Value,Persuadal
C0869,Occasional,Persuadal
C0870,Occasional,Lost Cause
C0871,Frequent Shopper,Lost Cause
C0872,Frequent Shopper,Persuadal
C0873,Price Sensitive,Sure Thing
C0874,Frequent Shopper,Lost Cause
C0875,High Value,Lost Cause
C0876,High Value,Sure Thing
C0877,Price Sensitive,Sure Thing
C0878,Price Sensitive,Sure Thing
C0879,High Value,Persuadal
C0880,Frequent Shopper,Sure Thing
C0881,Frequent Shopper,Lost Cause
C0882,Price Sensitive,Lost Cause
C0883,High Value,Sure Thing
C0884,High Value,Lost Cause
C0885,Price Sensitive,Persuadal
C0886,High Value,Sure Thing
C0887,Price Sensitive,Persuadal
C0888,Frequent Shopper,Persuadal
C0889,High Value,Lost Cause
C0890,Frequent Shopper,Sleeping Dog
C0891,Price Sensitive,Persuadal
C0892,Occasional,Sure Thing
C0893,Occasional,Lost Cause
C0894,Frequent Shopper,Persuadal
C0895,Price Sensitive,Sure Thing
C0896,Frequent Shopper,Lost Cause
C0897,Frequent Shopper,Sure Thing
C0898,Occasional,Persuadal
C0899,High Value,Sure Thing
C0900,High Value,Lost Cause
C0901,Frequent Shopper,Sure Thing
C0902,High Value,Persuadal
C0903,High Value,Lost Cause
C0904,Price Sensitive,Persuadal
C0905,Frequent Shopper,Lost Cause
C0906,Occasional,Persuadal
C0907,Occasional,Sleeping Dog
C0908,Frequent Shopper,Sure Thing
C0909,Frequent Shopper,Persuadal
C0910,Frequent Shopper,Persuadal
C0911,Price Sensitive,Persuadal
C0912,Frequent Shopper,Lost Cause
C0913,Price Sensitive,Sleeping Dog
C0914,Frequent Shopper,Sure Thing
C0915,Price Sensitive,Sure Thing
C0916,Frequent Shopper,Lost Cause
C0917,Frequent Shopper,Lost Cause
C0918,Occasional,Sure Thing
C0919,Price Sensitive,Sure Thing
C0920,High Value,Sure Thing
C0921,Occasional,Lost Cause
C0922,Frequent Shopper,Persuadal
C0923,Occasional,Sure Thing
C0924,Price Sensitive,Sure Thing
C0925,Frequent Shopper,Lost Cause
C0926,High Value,Persuadal
C0927,Frequent Shopper,Sure Thing
C0928,Price Sensitive,Sure Thing
C0929,Price Sensitive,Sure Thing
C0930,Frequent Shopper,Persuadal
C0931,High Value,Sure Thing
C0932,Occasional,Sure Thing
C0933,Occasional,Sure Thing
C0934,Price Sensitive,Sure Thing
C0935,High Value,Lost Cause
C0936,Frequent Shopper,Lost Cause
C0937,High Value,Persuadal
C0938,Occasional,Lost Cause
C0939,High Value,Sure Thing
C0940,Price Sensitive,Persuadal
C0941,Frequent Shopper,Persuadal
C0942,Price Sensitive,Persuadal
C0943,Price Sensitive,Lost Cause
C0944,Occasional,Lost Cause
C0945,Frequent Shopper,Lost Cause
C0946,High Value,Sure Thing
C0947,High Value,Sure Thing
C0948,Occasional,Persuadal
C0949,Occasional,Persuadal
C0950,Price Sensitive,Sure Thing
C0951,Price Sensitive,Persuadal
C0952,Price Sensitive,Persuadal
C0953,High Value,Sure Thing
C0954,Occasional,Lost Cause
C0955,Frequent Shopper,Sleeping Dog
C0956,Frequent Shopper,Sleeping Dog
C0957,Price Sensitive,Sure Thing
C0958,High Value,Sure Thing
C0959,High Value,Sure Thing
C0960,Price Sensitive,Lost Cause
C0961,High Value,Persuadal
C0962,Price Sensitive,Sure Thing
C0963,Frequent Shopper,Lost Cause
C0964,Frequent Shopper,Sure Thing
C0965,Frequent Shopper,Sure Thing
C0966,Frequent Shopper,Sure Thing
C0967,Price Sensitive,Persuadal
C0968,Frequent Shopper,Sure Thing
C0969,Price Sensitive,Persuadal
C0970,Frequent Shopper,Persuadal
C0971,Price Sensitive,Persuadal
C0972,Occasional,Lost Cause
C0973,Price Sensitive,Persuadal
C0974,Frequent Shopper,Sure Thing
C0975,High Value,Persuadal
C0976,Frequent Shopper,Sleeping Dog
C0977,Price Sensitive,Persuadal
C0978,High Value,Sure Thing
C0979,Frequent Shopper,Lost Cause
C0980,Price Sensitive,Lost Cause
C0981,Frequent Shopper,Persuadal
C0982,Price Sensitive,Lost Cause
C0983,High Value,Sure Thing
C0984,High Value,Sure Thing
C0985,Price Sensitive,Persuadal
C0986,Frequent Shopper,Persuadal
C0987,Price Sensitive,Lost Cause
C0988,Frequent Shopper,Sure Thing
C0989,Frequent Shopper,Sure Thing
C0990,Occasional,Lost Cause
C0991,Price Sensitive,Lost Cause
C0992,Price Sensitive,Persuadal
C0993,Frequent Shopper,Sure Thing
C0994,Price Sensitive,Persuadal
C0995,Frequent Shopper,Lost Cause
C0996,High Value,Lost Cause
C0997,Occasional,Sleeping Dog
C0998,High Value,Persuadal
C0999,Occasional,Persuadal
C1000,Frequent Shopper,Persuadal
